id,title,author,grade,text,char,valence,arousal,dominance
88275,Myself,natalie,8,أنا أصفر من جلدي، وشعري أخضر من خصر أسفل أنا لا أرى ذراعي مغطاة في منقوش أنفي أزرق، وتعبيري عن الحزن هو أني أيضاً لدي مضغة مضحكة كيف يمكن أن تكون سعيداً عندما لا يبدو أي شيء صحيحاً؟ عندما نصفكم، لا تستطيعون أن تروا؟ جلدي بعيد عن ضيق عيوني بعيد جداً بعيداً عن أنفي طويل لساني دائماً ما يذوق شيء لساني,507,2.453416585922241,3.2197341918945312,2.8906571865081787
111310,Painting Daisies,natalie,8,أنا بحاجة إلى إلهاء حقيقي من العالم الحقيقي المكان الذي يلعب فيه الأطفال لساعات دون أن يشعروا بالملل ستكون النجوم أكثر إشراقاً ولن يحارب أي شخص في الوقت الذي تغرّق فيه الطيور,784,3.6458873748779297,3.6327662467956543,3.307460069656372
24109,Summer but Winter,natalie,8,لكن فصل الصيف، فصل الصيف لطيف جداً، حساس جداً، على الشاطئ. الشتاء هو سوء معاملة. الشتاء هو سوء معاملة شديد البرودة جداً جداً على قدميّ الصيف هو نسيم بارد يطير من خلال شعري، الشتاء هو الصقيع البارد الملتصق بشعري أنا متأكد أنه يمكنك تخمين وقتي المفضل في السنة!,258,3.779625654220581,3.670912265777588,3.2968337535858154
38812,Love,natalie,8,الحب مثل لدغة من نحلة. صنع الدموع والخلافات الكريهة. فكر مرة أخرى عندما تقع في حب واحدة. لأنه سيقودك إلى الحياة التي يتم محوها. ستعيش حياتك كلها على ذلك الشخص.,414,2.555981397628784,3.3239870071411133,3.086653709411621
88273,Stealth,natalie,8,(أ) ما أنا؟ أنا شخص قصير و طويل القامة بعض اللاعبين مثلي لكي أكون طويل القامة وبعض مثلي أشعر بالارتياح الشديد عندما تكون النتائج التي قمت بها جيداً، ثم أحياناً أشعر بأن جزءاً من الاحتفال ما أنا عليه؟ أنا معتاد على العديد من الأشياء المختلفة إطلاق النار، التعامل مع العصا، وحتى الغضب من منحني مثل الموز يعطي الكثير من القوة ما أنا عليه؟ أنا جزء كبير جداً من فريق اللعبة لا يمكن أن يفوز بدوني,914,3.207258462905884,3.4021987915039062,3.2170629501342773
77497,True Love,natalie,8,حبّي الحقيقيّ الحقيقيّ لا يمكن أبداً أن يكون لـ (ستيفاني) و حبّها الحقيقيّ الحقيقيّ لـ 3. لماذا تسأل، هل هي الطريقة التي تبدو عليها؟ لا لا لا لا...,374,2.924835443496704,3.351008176803589,3.0766451358795166
17961,The Colours of a Dream,natalie,8,أستطيع أن أشعر بالهواء الحلو، لا توجد غرفة للشكوى، في المسافة صورة ولكن، خافت جدا. أفكر في هذا المكان الذي وجد حديثا، ولكن لا يوجد وقت أو مكان أو قناع على الوجه. في هذا العالم أنا الرأس، لا قيد، لا قاعدة، المناخ مثالي ليس للدفء، ولا للبرد. أنا أخاف عندما يحين الوقت لمغادرة هذه الأرض، ولكنكم ستعرفون أنني كنت هنا من خطوات في الرمال. لا أحد يستطيع أن يعرف متى سأعود أو أغادر، قد يكون ذلك صباحا، بعد الظهر، أو حتى في وقت متأخر من العشية. لقد قلت وداعا، لا يوجد مكان آخر أذهب إليه، أود أن أبقى فيه لفترة أطول، ولكن يجب أن أقول لا. لقد حان الوقت؛ لقد استيقظت من نومي، والمرح الذي كان لدي، وصنعت ذكريات إلى الأبد.,786,3.538883209228516,3.44735074043274,3.22476577758789
41436,The Black Scratcher,natalya,8,باللون الأسود بعينين أصفرين، منتظرين أن يمسك فأراً، يتحسس الريح في أذنيه، يحمي نفسه جداً، ويخدش إذا عومل بطريقة خاطئة. إذا أحببته سيحبك مرة أخرى. يحب القيلولة في أي مكان، دون اهتمام في العالم. عندما يأتي وحيداً ليعطيك فركاً ناعماً وبخاراً.,288,3.4954183101654053,3.37225341796875,3.2496144771575928
93902,Goodbye,natasha,8,في الليل أَبْقى مستيقظاً، كما أَشْعرُ الدموعَ تَمْرُّ أسفل وجهِي. أنا لا أَستطيعُ التَحَكُّم بالألمِ داخل. لذا أَغْلقُ عيونَي وأَقُولُ مع السّلامة.,136,2.209531784057617,3.4427621364593506,2.875173330307007
46361,My Mother Poem,natasha,8,هذه قصيدة عن أمي إنها لطيفة جداً ورائعة وهادئة. إنها دائماً تتجرأ، لكن غالباً تهتم. قد لا يكون لديها أفضل موقف أو ربما لا تكون في المزاج، عندما نصبح أنا وأختي وقحين حقاً. على المدى الطويل تغفر لنا مهما حدث، حتى وإن كانت ستعطينا صفعة. نحن نضحك، نبكي، وأنا أسأل نفسي لماذا أعطاني الله مثل هذه الأم الجيدة، مع حياة رائعة، شقيقة وأخ.,503,3.455658435821533,3.3926491737365723,3.291149139404297
