text,text_verified,verified
"كان بوب يريد وظيفة، لكنه لم يكن لديه وظيفة، لذا كان يبكي باستمرار. وأخيراً حصل على وظيفة في شركة مارس، وكانت وظيفته صنع ألواح الحلوى.","","false"
"دق، دق، دق، دق، يبدو كأنها تمطر بريقًا. دق، دق، دق، دق، تناثر، تناثر، تناثر. تناثر، تناثر على البركة. إنها تنهمر، اهرب! لماذا تحجب الشمس؟ دق، دق، دق، دق، تناثر... تناثر! تناثر","","false"
"إنها أطول شجرة ستراها في حياتك. لا تحاول تسلقها، فلن تستطيع. لن تتمكن حتى من الوصول إلى جذعها!","","false"
"سيارة تسير بسرعة كبيرة، تلتقط الريح ثم تدفعها بعيدًا","","false"
"الكلاب رقيقة، الكلاب خشنة، الكلاب لطيفة مع حذاء.","","false"
"الكتب تجعلك ذكيًا. يمكنك أن تتعلم منها. أحب الكتب المضحكة، فهي تجعلك تضحك","","false"
"مريع، مروع، ومُتحجّر. مريع، مروع، ومُتحجّر. دخان أسود يخنقني ويخنقني كأنني سأموت! أصرخ وأعوي بصوت عالٍ كبركان ثائر! طقطقة! دوي! تحطم! طقطقة! دوي! تحطم! ألسنة لهب حمراء متراقصة كأفعى الجرس. ارتطام! دوي! انفجار! ارتطام! دوي! انفجار!","","false"
"أحب الفشار، فشار كبير وكثيف، سأحشوه","","false"
"كنت في الرابعة من عمري في المركز التجاري، أتجول في ردهة الطعام كالفأر في متجر الجبن، حتى أدركت أنني ضائع، ضائع، ضائع، ضائع. كنت مرتبكًا من كثرة الناس، كان هناك الآلاف. ثم رأيت عائلتي، فكنت سعيدًا، سعيدًا، سعيدًا، سعيدًا!","","false"
"زي موحد، كعكات، شارات، رحلات، عروض، فنون، حرف يدوية، مسيرة، قسم، غناء، لعب، قراءة، سباق، أمنية، نكتة، مساعدة","","false"
"لا أستطيع كتابة قصيدة. أفضل نسخها من كتاب. أفضل قراءة كتاب. أريد الذهاب إلى الحمام. أنا عطشان. أريد أمي وأبي. أريد جدتي وجدي. أنا أنزف! لدي شوكة! أنا نعسان. لقد كتبت قصيدة!","","false"
"أتناول حلوى الجيلي بين كل عصر تقريبًا بملعقتي، وفي كل مساء عند السادسة تمامًا، أتناولها مكدسة على الطوب. أتناولها خارج المنزل ثم أسقطها على الأرض وأطلب المزيد.","","false"
"تستطيع ترانتيلا الخارقة إطلاق خيوط العنكبوت، هذا رائع! يمكنك الالتصاق بأي شيء، أنت آمن حقًا! يا للعجب! أنت تقتل الحشرات، أنت سريع، ومغطى بالفرو، أنت ممتع وكبير وطويل.","","false"
"سيارات، السيارات لها عجلات،عجلات.سيارات، السيارات لها نوافذ،نوافذ. سيارات، السيارات لها مقاعد،مقاعد.سيارات، السيارات لها أبواب،أبواب","","false"
"صديقي المفضل كائن فضائي أخضر. عمره أربعة عشر عامًا. يكون نحيفًا وقاسيًا أحيانًا، لكنه لطيف جدًا في معظم الأوقات! يحب أحيانًا تسلق شوكة القنفذ. كما نحب قطف الصنوبر من حول الأشجار الخضراء. لذا، حتى لو كان صديقي الأخضر نحيفًا وقاسيًا أحيانًا، فهو لا يزال صديقي المفضل، الكائن الفضائي. أحسنت يا صديقي!","","false"
"كرة السلة هي الأفضل عندما ترتد الكرة، فأنت في مباراة. أنت متأخر بنقطة واحدة، تبقى 3 ثوانٍ، وقت مستقطع، وقت مستقطع. صاحوا، انتهى الوقت المستقطع. سدد كوبي من نقطتين، ودخل السلة. تبقى ثانية واحدة، لكن تسديدة الفريق الآخر فشلت، لذا فاااااااز فريق النسور","","false"
"يفوز فريق باتريوتس. يخسر فريق رايدرز. لكن في أي يوم أحد، يكون لأي فريق فرصة للفوز. بعض الفرق قوية جدًا، وبعضها أفضل، وبعضها أسوأ. الأمر يعتمد على اليوم. يفوز فريق رايدرز. يخسر فريق باتريوتس.","","false"
