text,text_verified,verified
"أنا ابنكِ الأكبر. يعجبني لطفكِ وحنانكِ. أسمع ضحكاتكِ. أتمنى لو كنتِ بارعة في كل شيء. أرى أنكِ تجيدين القيام بالعديد من الأشياء. أنتِ أفضل أمٍّ لي على الإطلاق. أريد قضاء وقت معكِ. أشعر أنني سأحبكِ دائمًا. أحب أنكِ تخصصين وقتًا لنا كلما كنتِ مشغولة بالأعمال المنزلية. أنتِ صديقتي المفضلة إلى الأبد. أتخيل أننا نستطيع قضاء المزيد من الوقت معًا. أخشى ألا أحبكِ بنفس القدر عندما أكبر.","","false"
"ذهبت لمشاهدة المباراة وتناول بعض اللحم، وأثناء تناول اللحم سألتقي ببيت. النتيجة 7-0 لصالح فريق هيتس، الحمد لله، وأنا في الحادية عشرة فقط","","false"
"غنى الطائر غناءً عذباً وقوياً في الشجرة الطويلة.","","false"
"الأرانب حيوانات مسالمة للغاية. لديها فراء ناعم وذيول كثيفة. لهذا السبب أمتلك واحداً.","","false"
"آكله، أشم رائحته أحيانًا، أتهجى اسمه فقط. ولا يعجبني؟ لماذا أتذمر منه؟ ما الذي شممته؟ لماذا آكله؟ هل تعرف لماذا؟ لماذا أتذمر منه؟ ما الذي شممته؟ لماذا آكله؟ هل تعرف لماذا؟","","false"
"ذهبتُ إلى عمل أمي ذات يوم لمجرد أنه كان يوم عطلة بسبب الثلج. ولأنني كنت أشعر بالملل، بدأتُ باللعب، فكسرتُ كل شيء واضطررتُ لدفع ثمن ذلك. غضبت أمي، بل وشعرت بالإحباط أيضاً. في الواقع، كان غضبها شديداً لدرجة أنها مضغت حذاءها. حُرمتُ من الخروج لمدة أسبوع، أو ربما أسبوعين؟ لكنني لم أهتم، لأنني كنتُ في غاية الحماس!","","false"
"إلمو لطيف، ذكي، يضحك، يعلم، يغني، رائع","","false"
"التوت، يكون مرتفعًا ومنخفضًا في الربيع، شاهد كيف تتغير الألوان","","false"
"المخلل مقرف، طعمه مثل الخل، لذلك عندما تعطيني أمي مخللاً، أطعمه لكلبي!","","false"
"شرير، معذب، مجنون، بودوشيلي، وشاحه الحريري، فضاء غاضب، يخشى البازلاء، ذهب زنزانة مملكة دوريه.","","false"
"أتناول الموز بالملعقة كل عصر تقريباً. وفي كل مساء، عند الساعة السادسة تماماً، أتناول الموز مكدساً فوق الطوب.","","false"
"سدد، سجل، لا تشخر، اركض، انطلق، اصرخ، العب، ستشعر بالتعب بعد يوم واحد.","","false"
"عندما استيقظتُ ذات صباح، كان طائر اللقلق على رأسي. سألته: "ماذا تفعل هنا؟" نظر إليّ وقال: "ماذا تفعل أنت في سريرك؟ عليك أن تُفيق نفسك من غفلتك. إذا كنت كسولاً طوال الوقت، فلن تحصل على أجنحة مثلي أبداً."","","false"
"كان هناك كلب اسمه سبايك، كان يحب ركوب الدراجة، وكان ينبح طوال اليوم والليل. هذا كلبي المسمى سبايك.","","false"
