text,text_verified,verified
"الورود حمراء، البنفسجية زرقاء. أنا أحب حديقة الحيوانات. أنت كذلك؟","","false"
"الغابة مسكونة حقا. أعتقد أنها كذلك. لكن بعد ذلك سنذهب للتخييم","","false"
"أخذت جولة مشي في المدرسة اليوم وهذا ما رأيته كرات ترتد فتيات يتحدثن على الجدران أطفال يتسلقون على قضبان اللعب ورأيت حتى بعض سيارات المعلمين كانت الرياح تهب شعري على وجهي ورأيت بركة من الطين، لكنها مجرد أثر كل هذه الأشياء لاحظتها للتو في جولتي الصغيرة.","","false"
"يمكنك أن تفعل ما تريد يمكنك أن تلعب لعبة تلعب لعبة يمكنك أن تفعل أشياء كثيرة، يمكنك القراءة و الكتابة","","false"
"ملاك أوه ملاك تدور مثل الدوّارة ملاك أوه ملاك لن تتوقف أبدًا ألا تشعر بالهواء وهو يمر من شعرك ملاك أوه ملاك من المؤسف أنك ممسحة!","","false"
"انظر إلى الشمس، يا له من يوم جميل. تحت الأشجار، يمكننا أن نهرب ونلعب. جمال الطبيعة، نحب أن نراها، من حشرة صغيرة إلى شجرة غريبة. إنها مكان للجلوس والتفكير، الطبيعة والإنسان يشتركان في أعمق رابط. الطبيعة لها محيط، وهو في الحركة. الطبيعة لها شجرة، الطبيعة لها نهر. إذا دمرنا الطبيعة لن نكون أحرارا أبدا. طبيعتنا تبقينا أحياء، يجب أن نحميها، لكي يزدهر المجتمع. نحن نفسد الطبيعة، نحن نفسد المستقبل. انسجم مع الطبيعة، من أجل مستقبلك الأفضل.","","false"
"الكلب لعوب ونشيط يركض ويقفز ويهاجمني صديقي جاك","","false"
"عندما استيقظت صباح أحد الأيام، كان هناك كلب على رأسي. سألت، "ما الذي تفعل هنا؟' نظر إلي وقال "ووف!" "ألا تحب أن تكون في الخارج تلعب؟" قال الرجل "أنا سأبقى هنا وألعب هنا. " قال الكلب لقد لعب طوال الليل والنهار. دخل منزله الجديد ولعب في يوم رطب جداً","","false"
"ذهبت إلى شجرة التوت الأزرق لم أجد أي توت أزرق ذهبت إلى شجرة أخرى للحصول على المزيد مجاناً لكن لم أجد شيئاً سوى الكرز المستدير.","","false"
"في يوم مثلج خرج الأطفال ليلعبوا في الثلج. قذفوا كرات ثلج وركبوا الزلاجات ونحتوا رجل ثلج. ثم دخلوا ليشربوا شوكولاتة ساخنة. كان يوماً ممتعاً مثلجاً","","false"
