text,text_verified,verified
"مرحباً، اسمي ماركاشيا، يجب أن تحبني، يقولون إني ودود، أنا خجول، أحب أكل البيتزا، أحب الكتابة، وعندما أكبر أريد أن أصبح مغنياً.","","false"
"كان هناك رجل وامرأة، وكانا متحابين. أنجبا طفلين، أخًا وأختًا. كانوا عائلة، وكانوا يحبون بعضهم بعضًا. النهاية","","false"
"ذهب جوفي جوردي يتجول في وسط المدينة. ظن الجميع أنه غريب الأطوار. في اليوم التالي، ذهب إلى المدينة. مجنونًا على دراجة كهربائية، يصرخ ويصيح، "وووووو هوووووو!"","","false"
"ذئب رمادي خطير يصطاد طعامه، يشعر بالشبع الآن!","","false"
"إما الجلوس أو الانتظار، السرعة هي مفتاح النجاح، لا أحد يرغب في أن يُسحق، قضاء الوقت في الفضاء أمرٌ مُرهق، الوقت من ذهب بالنسبة للبعض","","false"
"أخت مزعجة، دراجة صغيرة، تلعب، تقفز، حضانة، كعكة، كب كيك، فتاة تركض، تضحك، تتحدث، مضحكة، جامحة، كيزيرا","","false"
"أحب أمي، سواءً كانت في العمل أو في المنزل. أستمتع بصحبتها، وهي تغمرني بالحب والحنان. أحياناً أناديها "ماما".","","false"
"هناك صوتٌ في داخلك يهمس طوال اليوم، يخبرك أنك أخطأت. لا معلم ولا أب ولا حكيم ولا صديق يستطيع أن يجبرك على اتخاذ قرار بشأن ما إذا كنت تريد أن تقضي حياتك في الشعر!","","false"
"الورود حمراء، والبنفسج أزرق، أمي جميلة جداً، وأنتِ كذلك!","","false"
"أحب أمي وأبي، أحبهما كثيراً لدرجة أنني أعانقهما وأقبلهما","","false"
"أمي الحنونة، الصبورة، المحبة، المحتضنة، المهتمة، شخص مميز في حياتي، صديقتي","","false"
"كل يوم في الساعة السادسة أتناول حلوى المارشميلو على عصا. أتناول التاكو مع كيفن.","","false"
"أحيانًا يكون مؤلمًا، وأحيانًا يكون مثيرًا للدغدغة، وأحيانًا يكون سائلًا، وأحيانًا يكون متقطرًا.","","false"
"هنا نخرج إلى المدينة، حيث تكثر السيارات والحركة المرورية. هنا نخرج إلى المدينة، حيث توجد ناطحات السحاب، المدينة فيها كل شيء ما عدا العشب.","","false"
"حان وقت الوداع، لكن ليس لديّ وقتٌ للبكاء الآن. أتمنى لو تبقى صديقي حتى النهاية. لا أعرف إن كنت سأراك مجدداً، لكن إن لم أرك، فسأضطر للبحث عن صديق جديد. لقد أطلتُ الحديث، لذا إن لم أودعك الآن، فلن أتمكن من التحدث إليك مجدداً.","","false"
"آه، الضرب، آه، الضرب، أنتِ لستِ مثيرةً على الإطلاق، لماذا عليّ أن أقضي معكِ إجازة؟ لماذا أكتب لكِ في محطة القطار؟ آه، الضرب، آه، الضرب، أنتِ لستِ مثيرةً على الإطلاق.","","false"
"الهالوين هو الأفضل. أحب الساحرات والأشباح والقطط السوداء. أحب الفزاعات والوحوش. أحب القرع والعفاريت، لكن هناك شيء أحبه أكثر من ذلك كله، وهو عنصر الرعب!","","false"
"الأرض مكان رائع ينمو فيه الناس والحيوانات. الأرض مكان رائع ذو مناطق خلابة. الأرض مكان رائع يسمح للناس بالعيش. الأرض مليئة بالأشياء الرائعة.","","false"
"لديّ حبة على ذقني. إنها أشبه بنتوء بني على بشرتي. عندما وخزتها بدبوس، أصبح الجرح أحمر فاقعاً ورقيقاً جداً. هذا ما حدث للحبة على بشرتي.","","false"
"عندما كنت عائدًا من المدرسة، رأيت قطة سوداء لطيفة جالسة على جدار من الطوب. وعندما اقتربت من المنزل، رأيت خفاشًا بنيًا كبيرًا يثرثر مع بعوضة مزعجة. بدا أنه معجب بالبعوضة، نسيت أن أخبرك بذلك. وعندما وصلت أخيرًا إلى المنزل، مسحت قدمي على السجادة.","","false"
"أمي رائعة، تتصرف بحماقة أحيانًا، تحب المدرسة كثيرًا، اليويو رائع، التفاح لذيذ، والمعكرونة هي المفضلة لدي","","false"
"بيض عيد الفصح، بيض عيد الفصح، يصعب العثور عليه، بيض عيد الفصح، بيض عيد الفصح، في بالي","","false"
"في أحد الأيام ذهبت إلى الحديقة، فرأيت بطلاً خارقاً، طار بجانبي. تصبحين على خير يا أمي، هل ستأخذيني إلى الحديقة؟ نعم، ها هو البطل الخارق. الحديقة تحترق، سينقذنا البطل الخارق. لقد نُقذنا. ما اسمك؟ النحات","","false"
"الطيور تحلق عالياً في السماء. الشمس مشرقة وتجعل السماء مشرقة للغاية. قوس قزح يبدو جميلاً أيضاً في السماء. السماء مليئة بالنجوم والقمر في الأعالي.","","false"
"أتناول الآيس كريم مع صوت بقرة كل يوم تقريباً في تمام الساعة الثانية صباحاً. وفي تمام الساعة الخامسة صباحاً، أتناول البيتزا  بسكين.","","false"
"أتناول فطيرة مع ذبابة كل عصر تقريباً. وأتناول حساءً من على الأرض في تمام الساعة الرابعة عصراً كل عصر تقريباً.","","false"
"طيور الرفراف تأكل السمك، وهي زرقاء وخضراء وبنية وبرتقالية ورمادية وحمراء. تدخل الماء، وتلتقط سمكة، ثم تأكلها","","false"
"عندما استيقظتُ ذات صباح، كانت سيسي في الطابق السفلي. كانت ماندي تُعدّ الفطور، لأنها تهتم بي حقًا. بدّلتُ ملابسي، وشعرتُ بحكة في أنفي، فذهبتُ لألعب، لقد عدتُ إلى المنزل لأبقى!","","false"
"عندما استيقظت ذات صباح، كان خنزير على رأسي. سألته: "ماذا تفعل هنا؟" نظر إليّ وقال: "اسمي تيد. ما اسمك؟" قلت: "مات، ابتعد عني."","","false"
"الحيوانات ممتعة، برية، غريبة، ومضحكة. انظروا، هناك أرنب! يمكن أن تكون الحيوانات أليفة أيضاً، مثل الكلاب، والقطط، والأسماك، والطيور، والثعابين، والماعز، والخيول، والأبقار، والديكة، والدجاج، والخنازير. حيوانات المزرعة والحيوانات البرية نوعان مختلفان من الحيوانات.","","false"
