id,title,author,grade,text,char,valence,arousal,dominance
108435,THE HOUSE,danielle    maya,8,"the house; though normal it may seem,   come halloween it becomes a scene  goblins,  goons,  and monsters galore,   come and seek what they are looking for:  feeding off the souls full of fear,  have been waiting for this night all year   the little children all full of sugar,  watching the skies waiting,   waiting for their nightmares to become reality.   their fear,  making the monsterâ’s stronger,  almost in control,  ready to start their legends over.   coming through the ground,  riding through the sky,  the monsters are coming for their next fright the zombies the witches the monsters all come  together once more,  tonight is the night to create a new beginning  you will be next,  just wait and see come halloween it becomes a scene goblins goons and monsters galore come and seek what theyâ’re looking for  feeding off the souls full of fear,  waiting for you they are near. ",877,3.0838725566864014,3.450575828552246,3.1465888023376465
108421,Wicked Witch,danielle and julia,8,"i hear cackles echo in the sky,  i hope she is only passing by.   who cares about ghosts,  witches scare me the most.   that witch has evil powers,   that could turn me a lizard,  rat,  or flowers.   she can make nasty potions,   that can cause quite a commotion.   warts cover her crooked green nose,  she has a wicked appearance from her frizzy hair to her stubby toes.   just the thought of her being near,  makes my body shudder with fear.   the wind is whispering my name,  ah! are those her evil eyes staring at me through my window pane?  i close my eyes thinking this is just a nightmare,  when they open she will not be there.   i pull the covers over my face,  maybe if i go to sleep i will wake up with this all erased.   i hear more chuckling and screeching farther away,   is she gone? yes,  but she will be back to torment me next halloween day. ",846,2.4544193744659424,3.55810022354126,2.963068723678589
108751,Dogs,dannia,8,dogs are fun they love to run dogs play  then lay  in the summer sun its tons of fun,87,4.034885406494141,3.566922426223755,3.38384222984314
29126,Night,dannie,8,love is like a kite loves light i said i love night like a white loves flight love to right,94,4.110625267028809,3.7254714965820312,3.363575220108032
29327,White light,dannie,8,the light is bright so get the white light out of my sight im trying to be polite so lets take a flight as high as a kite like a bird at night,145,3.22622299194336,3.371071577072144,3.3193929195404053
14974,&apos;&apos;LoNlYnEsS,danny,8,in life theres a passage you take  whether it right whether its faith and thats the truth from day to day.  day's go by day's go great but you still ask yourself why? why do i feel this way.  you look at yourself and you ask what? what is what i feel inside of me? my tears goby as i cry in the darkness night but i still ask myself why i feel this lonlyness inside. ,367,2.5036349296569824,3.2411017417907715,2.890467882156372
53564,The Ocean,dannyperk678,8,the ocean is pretty more enjoyable than the city seashells decorate the shore like carpet on the floor,105,3.80912971496582,3.347548484802246,3.329178094863892
17495,Stress,dara,8,"stress,  i have heard so much of you,  my ancestors wrote of you,  my granparents talked of you,  my parents were visited by you,  what is it about you that makes your visits seem inevitable,  stress,  they all claim that you did not invite you into thier lives,  that you are an unwellcome guest,  that you are an unwellcome intruder,  would it be the same between me and you,  so what i have heard you never came to stay you leave but you linger not far away.  popping in and out of ones lives causing lots of pain,  lots of striff,  many loved ones became unloved when you are present,  all around me,  people rich and poor invite you into there lives,  yet they claim to resent you being there,  stress i know your game,  stress i know you style, you come disguise as a nation,  only to change to your cousin's depression,  like a wolf in sheeps clothing,  you creep in a like a flock of my thjought,  then before i know it,  you decend upon me like a damp cloud,  then it is too late stress,  you have arrived,  you came,  you conquered i am stressed",1029,2.6750082969665527,3.253801107406616,3.0521602630615234
101345,Nature,dara and chad,8,blowing in the wind  creating an emotional effect rustling the canopies  stable by the base drowning from the rain waiting for sunshine,138,2.9689769744873047,3.226250171661377,3.0731263160705566
101334,Animals,dara and chad,8,"as far as the eye can see,  stripes blinding your sight,  wonders of the night.  creating yelps for survival. ",109,3.410605192184448,3.548675060272217,3.201951503753662
